plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	status	applicable_programs	curation_status
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Design Programming in Architectural Design	Architectural Design	(unset)	Existing	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Architectural Problem Analysis	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Architectural Programming Methods	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	User and Client Requirements Analysis	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Functional Relationship Analysis	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Adjacency and Bubble Diagrams	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Design Concept Development	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Architectural Programming and Design Process	Architectural Design Methodology	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Space Planning Fundamentals in Architectural Design	Architectural Design	(unset)	Existing	Architecture, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Space Planning and Human Circulation	Architectural Design	(unset)	Existing	Architecture, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Spatial Organization Systems	Architectural Design	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Horizontal Circulation	Architectural Design	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Vertical Circulation	Architectural Design	(unset)	New	Architecture, Architectural Engineering, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Entrance and Access Planning	Architectural Design	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Service and Public Circulation	Architectural Design	(unset)	New	Architecture, Interior Design	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Space Planning and Circulation	Space Efficiency and Building Planning	Architectural Design	(unset)	New	Architecture, Architectural Engineering	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Environmental Design	Climate Responsive Design in Architecture	Architectural Design	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering	VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Environmental Design	Passive Cooling Techniques in Architectural Design	Architectural Design	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering	VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Environmental Design	Sustainable Design Strategies in Architecture	Architectural Design	(unset)	Existing	Architecture, Architectural Engineering	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Environmental Design	Building Orientation in Architectural Design	Architectural Design	ENGINEERING_SCIENCES	Existing	Architecture, Architectural Engineering	VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Residential Architecture	Single-Family Residential Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Residential Architecture	Multi-Family Residential Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Residential Architecture	Apartment and Condominium Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Residential Architecture	Socialized and Affordable Housing Design	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Residential Architecture	Housing for Special User Groups	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Residential Architecture	Residential Subdivision Planning	Architectural Design	(unset)	New	Architecture, Landscape Architecture	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Commercial and Business Architecture	Office Building Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Commercial and Business Architecture	Retail and Commercial Building Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Commercial and Business Architecture	Market Planning and Design	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Commercial and Business Architecture	Hotel and Hospitality Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Commercial and Business Architecture	Mixed-Use Building Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Institutional Architecture	School and Educational Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Institutional Architecture	Library and Cultural Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Institutional Architecture	Hospital and Healthcare Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Institutional Architecture	Government Building Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Institutional Architecture	Religious Building Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Recreational and Assembly Architecture	Sports Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Recreational and Assembly Architecture	Theater and Auditorium Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Recreational and Assembly Architecture	Recreational Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Recreational and Assembly Architecture	Parks and Open-Space Design	Architectural Design	(unset)	New	Architecture, Landscape Architecture	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Industrial and Specialized Architecture	Industrial Building Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Industrial and Specialized Architecture	Agricultural Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Industrial and Specialized Architecture	Transportation Terminal Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Industrial and Specialized Architecture	Airport Architectural Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Industrial and Specialized Architecture	Seaport and Port Facility Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Industrial and Specialized Architecture	Service and Utility Facility Planning	Architectural Design	(unset)	New	Architecture, Architectural Engineering	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Complex Architectural Projects	Mixed-Use Complex Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Complex Architectural Projects	Multi-Building Site Planning	Architectural Design	(unset)	New	Architecture, Landscape Architecture	CONTEXT_GAP
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Complex Architectural Projects	Campus and Institutional Complex Planning	Architectural Design	(unset)	New	Architecture	UNSET_VALID
2	📐 Architectural Design	Master architectural programming, spatial organization, environmental response, building typologies, and systematic design decision-making required for ALE design problems.	Complex Architectural Projects	Integrated Architectural Design Problems	Architectural Design	(unset)	New	Architecture	UNSET_VALID
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Analysis	Site Analysis and Environmental Factors in Architectural Design	Site Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Analysis	Fundamentals of Site Selection in Architecture	Site Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Analysis	Topography Considerations in Architectural Site Planning	Site Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Site Analysis	Principles and Practices of Site Planning and Environmental Design	Site Planning	(unset)	Existing	Architecture, Landscape Architecture, Environmental Planning	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Environmental Site Planning	Solar Orientation Strategies in Site Planning	Site Planning	(unset)	Existing	Architecture, Landscape Architecture	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Environmental Site Planning	Wind Orientation and Natural Ventilation in Architectural Design	Site Planning	(unset)	Existing	Architecture, Landscape Architecture	CONTEXT_GAP
3	🌳 Planning and Site Development	Understand site planning, land-use planning, urban design, human settlements, landscape design, and the environmental factors shaping responsible architectural development.	Environmental Site Planning	Drainage Planning for Building Sites	Site Planning	ENGINEERING_SCIENCES	Existing	Architecture, Landscape Architecture, Environmental Planning	VALID
