plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	status
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Functions and Limits	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Continuity	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Derivatives and Differentiation Rules	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Implicit Differentiation	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Higher-Order Derivatives	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Partial Derivatives	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Related Rates	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Maxima and Minima	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Curve Sketching	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Calculus	Engineering Applications of Derivatives	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Indefinite Integrals	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Definite Integrals	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Fundamental Theorem of Calculus	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Techniques of Integration	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Areas Under and Between Curves	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Volumes of Solids	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Centroids Using Integration	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Moments of Inertia Using Integration	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Integral Calculus	Engineering Applications of Integration	Calculus	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	Introduction to Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	First-Order Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	Separable Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	Linear First-Order Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	Second-Order Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	Higher-Order Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Differential Equations	Engineering Applications of Differential Equations	Differential Equations	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Descriptive Statistics	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Fundamentals of Probability	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Random Variables	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Probability Distributions	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Normal Distribution	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Sampling and Estimation	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Hypothesis Testing	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Probability and Engineering Data Analysis	Correlation and Regression	Engineering Data Analysis	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Errors and Approximations	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Roots of Nonlinear Equations	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Systems of Linear Equations	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Interpolation	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Curve Fitting	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Numerical Differentiation	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Numerical Integration	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Numerical Methods	Numerical Solution of Differential Equations	Numerical Methods	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Simple and Compound Interest	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Time Value of Money	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Cash Flow Diagrams	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Present Worth Analysis	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Future Worth Analysis	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Annual Worth Analysis	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Rate of Return	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Benefit-Cost Analysis	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Depreciation	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Break-Even Analysis	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
1	📐 Engineering Mathematics	Build the mathematical foundation required for civil engineering problem-solving through algebra, trigonometry, geometry, calculus, differential equations, probability, numerical methods, and engineering economics.	Engineering Economics	Replacement Analysis	Engineering Economics	ENGINEERING_MATHEMATICS	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Scalars and Vectors	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Vector Addition and Subtraction	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Cartesian Vector Components	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Unit Vectors	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Dot Product	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Cross Product	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Vector Mechanics	Position Vectors	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Forces and Force Components	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Concurrent Force Systems	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Parallel Force Systems	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Non-Concurrent Force Systems	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Resultant of Force Systems	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Moments of Forces	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Couples and Couple Moments	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Force Systems	Equivalent Force-Couple Systems	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Equilibrium	Free-Body Diagrams	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Equilibrium	Equilibrium of Particles	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Equilibrium	Two-Dimensional Rigid Body Equilibrium	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Equilibrium	Three-Dimensional Rigid Body Equilibrium	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Equilibrium	Support Reactions	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Truss Fundamentals and Assumptions	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Method of Joints	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Method of Sections	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Zero-Force Members	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Compound Trusses	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Space Trusses	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Analysis of Frames	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Analysis of Machines	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Trusses, Frames, and Machines	Internal Forces in Structural Members	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Friction	Fundamentals of Dry Friction	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Friction	Static and Kinetic Friction	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
2	⚙️ Engineering Mechanics	Develop a strong understanding of forces, equilibrium, structural behavior, friction, centroids, moments of inertia, and energy principles used to analyze engineering systems.	Friction	Inclined Plane Friction	Engineering Mechanics	ENGINEERING_SCIENCES	Unmapped
