plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	American Colonial Rule and Philippine Society	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Japanese Occupation and the Second World War in the Philippines	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Postwar Philippine Republic and Nation-Building	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Martial Law and Democratic Restoration	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Primary Sources and Historical Interpretation	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Readings in Philippine History	Contemporary Philippine Society and Historical Legacies	Philippine History	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Fundamental Arithmetic and Number Sense	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Fractions, Decimals, Percentages, and Ratios	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Algebraic Expressions and Equations	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Functions, Patterns, and Sequences	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Geometry and Measurement	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Probability and Basic Statistics	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Data Interpretation and Graphical Reasoning	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Financial Mathematics in Everyday Life	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Mathematics in the Modern World	Mathematical Problem Solving and Logical Reasoning	Mathematics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Effective Communication: Principles, Process, and Contexts	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Verbal and Nonverbal Communication	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Communication Barriers and Strategies	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Academic and Professional Communication	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Audience, Purpose, Tone, and Register	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Critical Reading and Evaluating Sources	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Academic Writing: Organization, Coherence, and Cohesion	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Purposive Communication	Workplace and Special-Purpose Communication	Purposive Communication	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Science, Technology and Society	Scientific Method and Scientific Reasoning	Science and Technology	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Science, Technology and Society	Environmental Conservation and Sustainable Resource Use	Science and Technology	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Science, Technology and Society	Science, Technology, and Society	Science and Technology	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Science, Technology and Society	Emerging Technologies and Their Social Impacts	Science and Technology	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Moral Reasoning and Ethical Decision-Making	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Major Ethical Theories: Virtue, Duty, and Consequences	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Human Acts, Freedom, and Moral Responsibility	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Values, Rights, Justice, and the Common Good	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Resolving Moral Dilemmas	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
1	🌱 BSCS Year 1 — Computing & College Foundations	A manageable first-year Study Plan combining shared General Education with foundational Computer Science, aligned to CHED CMO No. 25 s.2015 (BSCS sample program of study) and CMO No. 20 s.2013 (General Education core). GE notes are reused unchanged from LET's General Education plan; computing notes are newly authored Computer-Science-only first, since the current Domain Context vocabulary has no honest computing value - Applicable Programs expands to sibling computing programs note-by-note after generation, where the exact treatment serves them unchanged.	Ethics	Ethics in Professional and Public Life	Ethics	GENERAL_EDUCATION	Early Childhood Education; Elementary Education; Physical Education; Secondary Education; Special Needs Education; Technical-Vocational Teacher Education; Computer Science	Reuse
