plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Accounting Equation and Double-Entry Accounting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Adjusting Entries and Accrual Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Basic Accounting Equation and Components	Accounting – Basic Concepts	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Closing Entries in Accounting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Error Correction in Accounting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Journal Entries in Fundamentals of Accounting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Ledger in Accounting: Structure and Function	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	The Accounting Cycle: Steps for Accurate Financial Reporting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Trial Balance in Accounting: Purpose and Preparation	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Understanding Debits and Credits in Financial Accounting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Accounting Process and Cycle	Adjusting Entries and the Accrual Basis of Accounting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Direct and Indirect Methods of Preparing the Statement of Cash Flows	Cash Flow	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Financial Statement Effects of Inflation	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Classification of Cash Flows: Operating, Investing, and Financing Activities	Cash Flow	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Comparative Analysis of Cash Flow and Net Income in Financial Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Inflation Effects on Financial Statements in Accounting	Accountancy	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Inventory Errors and Their Effects on Financial Statements	Inventory	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	The Four Primary Financial Statements and Their Uses in Financial Reporting	Financial Reporting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Notes to Financial Statements and Disclosure Principles	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Statement of Changes in Equity	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Statement of Financial Position: Classification and Presentation	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Presentation of Financial Statements	Statement of Profit or Loss and Other Comprehensive Income	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Cash Management and Cash Equivalents in Financial Reporting	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Cash and Receivables Management in Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Accounts Receivable and Allowance for Doubtful Accounts	Fundamentals of Accounting	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Bank Reconciliation Statements in Accountancy	Cash and Receivables	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Factoring and Assignment of Receivables	Cash and Receivables	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Impairment of Receivables in Accountancy	Cash and Receivables	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Notes Receivable and Interest Computation	Cash and Receivables	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Petty Cash and Cash Short or Over	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Cash and Receivables	Receivable Classification, Recognition, and Measurement	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Inventories	Inventory Valuation: FIFO, Weighted Average, and Lower of Cost or NRV	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Inventories	Consignment Accounting in Inventory Management	Inventory	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Inventories	Lower of Cost and Net Realizable Value in Inventory Valuation	Inventory	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Inventories	Special Inventory Valuation Methods in Accountancy	Inventory	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Inventories	Inventory Cost Formulas and Periodic vs Perpetual Systems	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Depreciation and Accounting for Property, Plant, and Equipment	Financial Reporting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Asset Acquisition Costs in Property, Plant, and Equipment (PPE) Accounting	PPE	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Asset Impairment in Property, Plant, and Equipment (PPE) Accounting	PPE	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Depletion Accounting in PPE Management	PPE	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Depreciation Methods and Asset Impairment	Accountancy	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Subsequent Expenditures on Property, Plant, and Equipment (PPE)	PPE	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Initial Recognition and Measurement of Property, Plant and Equipment	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Property, Plant and Equipment	Revaluation Model for Property, Plant and Equipment	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Investment Property and Intangible Assets	Intangible Assets in Financial Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Investment Property and Intangible Assets	Investment Property in Financial Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Investment Property and Intangible Assets	Amortization and Impairment of Intangible Assets	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Investment Property and Intangible Assets	Research and Development Costs	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Financial Instruments in Financial Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Fair Value Through Other Comprehensive Income (FVOCI) Investments in Accounting	Investments	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Fair Value Through Profit or Loss (FVTPL) Investments	Investments	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Financial Assets Measured at Amortized Cost under IFRS	Investments	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Classification and Measurement of Financial Assets	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Expected Credit Loss Model for Financial Assets	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Financial Instruments and Investments	Financial Liabilities and Effective Interest Method	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Liabilities, Provisions and Contingencies	Liabilities and Provisions in Financial Reporting	Financial Reporting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Liabilities, Provisions and Contingencies	Compound Interest, Liabilities, and Consumer Debt Analysis	Accountancy	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Liabilities, Provisions and Contingencies	Bonds Payable and Effective Interest Method	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Liabilities, Provisions and Contingencies	Current and Noncurrent Liability Classification	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Liabilities, Provisions and Contingencies	Provisions, Contingent Liabilities, and Contingent Assets	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Equity and Earnings per Share	Earnings Per Share (EPS) in Financial Accounting	Equity	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Equity and Earnings per Share	Retained Earnings Accounting in Corporate Financial Reporting	Equity	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Equity and Earnings per Share	Share Capital Transactions in Equity Accounting	Equity	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Equity and Earnings per Share	Treasury Shares in Corporate Equity Accounting	Equity	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Equity and Earnings per Share	Basic and Diluted Earnings per Share	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Revenue Recognition	Revenue Recognition Principles in Financial Reporting	Financial Reporting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Revenue Recognition	Contract Assets, Contract Liabilities, and Variable Consideration	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Revenue Recognition	PFRS 15 Five-Step Revenue Recognition Model	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Leases	Fundamentals and Accounting Treatment of Leases in Financial Accounting	Financial Accounting	ACCOUNTANCY	Accountancy	Existing
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Leases	Lessee Accounting under PFRS 16	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Leases	Lessor Accounting and Lease Classification	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Income Taxes and Employee Benefits	Current and Deferred Income Tax Accounting	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Income Taxes and Employee Benefits	Defined Contribution and Defined Benefit Plans	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Other Financial Reporting Topics	Related Party Transactions in Accountancy	Special Areas	ACCOUNTANCY	Accountancy	Reuse
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Other Financial Reporting Topics	Accounting Policies, Changes in Estimates, and Errors	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Other Financial Reporting Topics	Events after the Reporting Period	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Other Financial Reporting Topics	Fair Value Measurement	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Other Financial Reporting Topics	Interim Financial Reporting	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
1	💰 Financial Accounting and Reporting	The recognition, measurement, and reporting of business transactions and financial statement elements under Philippine Financial Reporting Standards (PFRS).	Other Financial Reporting Topics	Segment Reporting	Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Partnership Accounting	Admission, Retirement, and Withdrawal of Partners	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Partnership Accounting	Partnership Dissolution and Liquidation	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Partnership Accounting	Partnership Formation and Initial Capital Accounts	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Partnership Accounting	Partnership Operations and Profit or Loss Sharing	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Corporate Liquidation and Reorganization	Corporate Liquidation and Statement of Affairs	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Joint Arrangements and Special Transactions	Joint Arrangements: Joint Operations and Joint Ventures	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Revenue from Contracts and Special Revenue Arrangements	Franchise Accounting	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Revenue from Contracts and Special Revenue Arrangements	Installment and Consignment Sales	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Revenue from Contracts and Special Revenue Arrangements	Long-Term Construction Contracts and Revenue Recognition	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Home Office, Branch and Agency Accounting	Branch Accounting and Combined Financial Statements	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Home Office, Branch and Agency Accounting	Home Office and Branch Reciprocal Accounts	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Business Combinations	Acquisition Method for Business Combinations	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Business Combinations	Business Combination Consideration and Acquisition-Date Adjustments	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Business Combinations	Goodwill and Gain from Bargain Purchase	Advanced Financial Accounting and Reporting	ACCOUNTANCY	Accountancy	New
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Separate and Consolidated Financial Statements	Equity Method Accounting for Investments	Investments	ACCOUNTANCY	Accountancy	Reuse
2	🏦 Advanced Financial Accounting and Reporting	Complex financial reporting: partnership formation, operation, and liquidation; corporate liquidation; business combinations and consolidated financial statements; and specialized industries.	Separate and Consolidated Financial Statements	Fundamentals of Consolidated Financial Statements in Investments	Investments	ACCOUNTANCY	Accountancy	Reuse
