plan_no	subject_plan	plan_description	section	note_title	note_subject	domain_context	applicable_programs	status
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Key Water Quality Parameters in Engineering Water Treatment	Water Treatment	ENGINEERING_SCIENCES	Biology, Chemical Engineering, Chemistry, Civil Engineering, Environmental Engineering, Sanitary Engineering	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Nursing Process, Assessment, and Care Planning	Sedimentation in Water Treatment Engineering	Water Treatment	ENGINEERING_SCIENCES	Biology, Chemical Engineering, Chemistry, Civil Engineering, Environmental Engineering, Sanitary Engineering	Excluded
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Infection Control and Isolation Precautions in Nursing	Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Patient Safety and Risk Reduction in Nursing Practice	Fundamentals of Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Hand Hygiene in Nursing: Principles and Practice	Fundamentals of Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Personal Protective Equipment (PPE) Usage in Nursing Practice	Fundamentals of Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Standard and Transmission-Based Precautions in Infection Control	Fundamentals of Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Rapid Pulmonary Impact Mechanisms in Viral Infections	Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Fall Prevention Strategies in Nursing Care	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Incident Reporting in Nursing Practice	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	National Patient Safety Goals in Nursing Practice	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Prevention of Hospital-Acquired Infections in Nursing Practice	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Root Cause Analysis in Healthcare for Patient Safety	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Safe Patient Handling and Transfer Techniques in Nursing	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Sentinel Events in Patient Safety: Identification and Response	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Patient Safety, Infection Prevention, and Quality Improvement	Use of Restraints in Nursing Practice: Principles and Patient Safety	Patient Safety	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Communication, Documentation, and Collaboration	Documentation and Charting in Nursing Practice	Fundamentals of Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Communication, Documentation, and Collaboration	Therapeutic Communication in Nursing Practice	Fundamentals of Nursing	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Legal, Ethical, and Professional Nursing Practice	Fundamentals of Nursing Ethics	Fundamentals of Nursing	PROFESSIONAL_PRACTICE_AND_REGULATION	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Legal, Ethical, and Professional Nursing Practice	Legal Responsibilities of Nurses in Patient Care	Fundamentals of Nursing	PROFESSIONAL_PRACTICE_AND_REGULATION	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Legal, Ethical, and Professional Nursing Practice	Legal and Ethical Foundations in Professional Nursing Practice	Fundamentals of Nursing	PROFESSIONAL_PRACTICE_AND_REGULATION	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Application of Maslow’s Hierarchy of Needs in Nursing Prioritization	Prioritization and Clinical Judgement	NURSING	Nursing	Existing
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Prioritization and Delegation in Nursing Practice	Nursing	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	ABC Priority Framework in Nursing Decision-Making	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Clinical Judgment and Decision-Making in Nursing	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Delegation Priorities for Registered Nurses in Clinical Settings	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Differentiating Expected and Unexpected Assessment Findings in Clinical Judgment	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Differentiating Stable and Unstable Patient Assessments in Nursing	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Distinguishing Acute and Chronic Conditions for Clinical Prioritization in Nursing	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Nursing Prioritization Strategies for NCLEX Success	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Patient Assignment and Workload Prioritization in Nursing Practice	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Prioritization, Delegation, and Clinical Judgment	Recognition of Life-Threatening Conditions in Nursing	Prioritization and Clinical Judgement	NURSING	Nursing	Reuse
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Leadership, Management, and Health Informatics	Nursing Leadership, Management, and Health Informatics	Nursing	NURSING	Nursing	New
1	🩺 Foundations, Professional Nursing Practice, and Clinical Judgment	Build the cross-cutting nursing competencies used throughout the PNLE: nursing process, assessment, safe and quality care, communication, documentation, legal-ethical practice, evidence-based care, leadership, prioritization, delegation, and clinical judgment.	Evidence-Based Practice and Nursing Research	Evidence-Based Nursing Practice and Fundamentals of Nursing Research	Nursing	NURSING	Nursing	New
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Foundations of Community Health Nursing and Primary Health Care	Foundations of Community Health Nursing and Primary Health Care	Community Health Nursing	NURSING	Nursing	New
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Community Assessment, Diagnosis, and the Nursing Process	Community Assessment, Diagnosis, Planning, Intervention, and Evaluation	Community Health Nursing	NURSING	Nursing	New
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Epidemiology, Vital Statistics, and Demography	Fundamental Principles of Epidemiology in Nursing Practice	Community Health Nursing	NURSING	Nursing	Reuse
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Communicable Disease Prevention and Control	Communicable Disease Prevention, Control, Eradication, and Elimination	Community Health Nursing	NURSING	Nursing	New
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Noncommunicable Disease Prevention and Health Promotion	Health Promotion and Prevention in Nursing Practice	Community Health Nursing	NURSING	Nursing	Reuse
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Noncommunicable Disease Prevention and Health Promotion	Vaccination Programs in Nursing: Implementation and Impact	Community Health Nursing	NURSING	Nursing	Reuse
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Family and Population Group Nursing	Nursing Care of Families and Population Groups in the Community	Community Health Nursing	NURSING	Nursing	New
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Philippine Health Programs and Health Care Delivery	Public Health Programs in the Philippines	Community Health Nursing	NURSING	Nursing	Reuse
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Disaster, School, and Occupational Health Nursing	Disaster Nursing Roles and Competencies	Community Health Nursing	NURSING	Nursing	Reuse
2	🌏 Community and Public Health Nursing	Prepare for Nursing Practice I through care of individuals, families, population groups, and communities using the nursing process, with emphasis on prevention, epidemiology, Philippine health systems, community programs, and disaster/community practice.	Community Organizing, Referral, Records, and Health Technology	Community Organizing, Referral Systems, Recording, Reporting, and Health Technology	Community Health Nursing	NURSING	Nursing	New
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Reproductive Health and Family Planning	Reproductive Health, Family Planning Methods, and Responsible Parenthood	Maternal and Child Nursing	NURSING	Nursing	New
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Normal Pregnancy and Prenatal Care	Pediatric Growth and Development	Maternal and Child Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Normal Pregnancy and Prenatal Care	Comprehensive Prenatal Care in Nursing Practice	Maternal and Child Nursing	NURSING	Nursing	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	High-Risk Pregnancy and Antepartum Complications	Differentiating Preeclampsia and Eclampsia in Maternal Care	Maternal and Child Nursing	NURSING	Nursing	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	High-Risk Pregnancy and Antepartum Complications	Pregnancy Danger Signs: Early Recognition and Response	Maternal and Child Nursing	NURSING	Nursing	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Labor and Birth	Leopold's Maneuvers in Maternal and Child Nursing	Maternal and Child Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Labor and Birth	Stages of Labor and Nursing Care	Maternal and Child Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Labor and Birth	Fetal Heart Rate Patterns in Maternal and Child Nursing	Maternal and Child Nursing	NURSING	Nursing	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Labor and Birth	Physiology and Management of Labor and Delivery in Obstetric Nursing	Maternal and Child Nursing	NURSING	Nursing	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Labor and Birth	Common Laboratory Values	Clinical Chemistry	NURSING	Medicine	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Labor and Birth	Common Normal Laboratory Values	Clinical Chemistry	NURSING	Medicine	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Intrapartum Complications and Obstetric Emergencies	Intrapartum Complications and Obstetric Emergencies	Maternal and Child Nursing	NURSING	Nursing	New
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Immediate and Essential Newborn Care	APGAR Scoring and Newborn Assessment	Pediatric Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Immediate and Essential Newborn Care	Fetal Circulation: Anatomy and Functional Adaptations	Maternal and Child Nursing	NURSING	Nursing	Existing
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Immediate and Essential Newborn Care	Comprehensive Newborn Assessment	Maternal and Child Nursing	NURSING	Nursing	Reuse
3	🤰 Maternal and Newborn Nursing	Master nursing care before, during, and after childbirth, including reproductive health, normal and high-risk pregnancy, labor and delivery, obstetric emergencies, essential newborn care, and postpartum complications.	Immediate and Essential Newborn Care	Newborn Reflexes in Maternal and Child Nursing	Maternal and Child Nursing	NURSING	Nursing	Reuse
